4.592197699,-2.218442626,-3.388077716,-2.249872941
4.788355508,-2.255462491,-3.584235526,-2.298912394
4.923949322,-2.279105477,-3.719829339,-2.332810847
5.006867411,-2.28879396,-3.802747429,-2.353540369
4.794871508,-2.225783764,-3.590751526,-2.300541394
5.004024894,-2.226845372,-3.799904911,-2.35282974
4.661392085,-2.23202694,-3.457272102,-2.267171538
4.461076166,-2.189463598,-3.256956183,-2.217092558
4.803544998,-2.266664138,-3.599425016,-2.302709766
4.887838614,-2.275116882,-3.683718631,-2.32378317
4.459770577,-2.194547301,-3.255650595,-2.216766161
4.657712353,-2.229501598,-3.453592371,-2.266251605
4.804852459,-2.272076424,-3.600732476,-2.303036631
4.888729301,-2.278410645,-3.684609318,-2.324005842